backend,component,batch,warmup,iters,mean_ms,std_ms,min_ms,max_ms
CPU-NdArray,bio_encode,1,3,3,936.13,3.86,930.68,939.07
CPU-NdArray,text_encode,1,3,3,139.54,3.13,135.76,143.42
CPU-NdArray,full_forward,1,3,3,1403.66,4.14,1397.95,1407.63
CPU-NdArray,bio_encode,4,3,3,3671.62,4.71,3667.09,3678.11
CPU-NdArray,text_encode,4,3,3,413.76,1.13,412.86,415.35
CPU-NdArray,full_forward,4,3,3,5079.22,8.01,5070.67,5089.93
CPU-Accelerate,bio_encode,1,3,3,265.26,4.05,260.71,270.54
CPU-Accelerate,text_encode,1,3,3,66.05,2.34,63.59,69.20
CPU-Accelerate,full_forward,1,3,3,472.35,3.43,469.82,477.19
CPU-Accelerate,bio_encode,4,3,3,944.33,4.78,939.91,950.97
CPU-Accelerate,text_encode,4,3,3,146.94,1.15,145.66,148.46
CPU-Accelerate,full_forward,4,3,3,1417.23,15.08,1406.01,1438.55
GPU-Metal,bio_encode,1,3,3,26.80,12.60,10.66,41.40
GPU-Metal,text_encode,1,3,3,24.30,16.43,11.26,47.47
GPU-Metal,full_forward,1,3,3,117.26,18.27,104.30,143.09
GPU-Metal,bio_encode,4,3,3,84.06,105.18,8.73,232.79
GPU-Metal,text_encode,4,3,3,137.05,163.87,11.14,368.50
GPU-Metal,full_forward,4,3,3,315.71,13.99,304.19,335.40
Python-CPU,bio_encode,1,3,3,124.67,3.23,121.37,127.84
Python-CPU,text_encode,1,3,3,29.84,0.81,29.31,30.77
Python-CPU,full_forward,1,3,3,219.63,2.88,217.72,222.95
Python-CPU,bio_encode,4,3,3,436.70,1.51,435.72,438.43
Python-CPU,text_encode,4,3,3,65.22,0.42,64.76,65.57
Python-CPU,full_forward,4,3,3,668.55,6.60,663.36,675.97
